Santa Clara, CA,2020-05-11,2367,120,384,2985,122,519
Cupertino, CA,2020-05-11,2395,104,544,3349,117,575
San Francisco, CA,2020-05-11,3295,114,881,4150,114,3111
Los Angeles, CA,2020-05-11,2049,116,592,2495,118,1060
San Diego, CA,2020-05-11,1795,107,332,2000,125,474
Seattle, WA,2020-05-11,1569,121,508,1724,116,740
Boston, MA,2020-05-11,1904,96,566,2200,116,515
New York, NY,2020-05-11,2300,114,885,2400,113,1174
Philadelphia, PA,2020-05-11,1345,97,481,1695,90,739
Washington, DC,2020-05-11,1658,116,428,1735,113,560
Miami, FL,2020-05-11,1300,117,254,1598,116,535
Santa Clara, CA,2020-05-12,2478,115,429,2945,121,531
Cupertino, CA,2020-05-12,2395,139,552,3287,120,548
San Francisco, CA,2020-05-12,3096,114,827,4298,116,1204
Los Angeles, CA,2020-05-12,1910,116,540,2628,118,788
San Diego, CA,2020-05-12,1800,120,445,2055,115,600
Seattle, WA,2020-05-12,1645,119,517,1833,119,860
Boston, MA,2020-05-12,1900,113,499,2354,117,607
New York, NY,2020-05-12,2150,109,1212,2300,107,1745
Philadelphia, PA,2020-05-12,1495,111,391,1676,107,680
Washington, DC,2020-05-12,1755,131,863,1957,116,855
Miami, FL,2020-05-12,1467,113,417,1750,137,45553
Santa Clara, CA,2020-05-13,2405,116,370,2912,121,427
Cupertino, CA,2020-05-13,2345,161,521,3198,122,562
San Francisco, CA,2020-05-13,3000,113,878,4006,118,1105
Los Angeles, CA,2020-05-13,1899,115,520,2395,111,820
San Diego, CA,2020-05-13,1740,122,431,1958,124,486
Seattle, WA,2020-05-13,1566,119,500,1642,118,582
Boston, MA,2020-05-13,1895,112,464,2425,118,768
New York, NY,2020-05-13,2045,111,764,2500,102,860
Philadelphia, PA,2020-05-13,1385,103,382,1575,105,577
Washington, DC,2020-05-13,1630,113,469,1690,113,678
Miami, FL,2020-05-13,1340,126,337,1679,150,421
Santa Clara, CA,2020-05-15,2445,109,399,2950,128,463
Cupertino, CA,2020-05-15,2345,182,468,3145,126,469
San Francisco, CA,2020-05-15,3414,117,866,4272,118,1166
Los Angeles, CA,2020-05-15,1846,116,679,2343,116,698
San Diego, CA,2020-05-15,1795,120,394,2150,113,439
Seattle, WA,2020-05-15,1800,117,1024,1690,117,610
Boston, MA,2020-05-15,1925,115,477,2250,118,584
New York, NY,2020-05-15,2072,110,726,2645,103,1073
Philadelphia, PA,2020-05-15,1410,88,382,1842,76,594
Washington, DC,2020-05-15,1692,118,436,1746,116,696
Miami, FL,2020-05-15,1422,118,390,1700,119,717
Santa Clara, CA,2020-05-16,2445,119,388,2895,131,512
Cupertino, CA,2020-05-16,2345,174,507,3140,134,470
San Francisco, CA,2020-05-16,3295,113,803,4200,115,1142
Los Angeles, CA,2020-05-16,1810,108,636,2395,115,859
San Diego, CA,2020-05-16,1693,125,377,2126,123,487
Seattle, WA,2020-05-16,1699,115,473,1795,119,958
Boston, MA,2020-05-16,1839,114,560,2200,116,660
New York, NY,2020-05-16,2275,107,1226,2500,108,1651
Philadelphia, PA,2020-05-16,1655,115,424,1825,107,522
Washington, DC,2020-05-16,1996,114,543,1664,130,612
Miami, FL,2020-05-16,1385,121,352,1650,122,570
Santa Clara, CA,2020-05-17,2495,105,402,2895,135,502
Cupertino, CA,2020-05-17,2345,166,512,3145,132,473
San Francisco, CA,2020-05-17,3099,117,3496,3939,110,1125
Los Angeles, CA,2020-05-17,2100,117,743,2550,116,942
San Diego, CA,2020-05-17,1769,116,367,2154,115,572
Seattle, WA,2020-05-17,1675,119,505,1698,118,847
Boston, MA,2020-05-17,1800,105,566,2200,111,622
New York, NY,2020-05-17,2070,107,1083,2500,115,1089
Philadelphia, PA,2020-05-17,1500,116,383,1465,123,585
Washington, DC,2020-05-17,1560,116,457,1795,115,770
Miami, FL,2020-05-17,1360,122,363,1700,181,498
Santa Clara, CA,2020-05-18,2369,116,374,2995,119,452
Cupertino, CA,2020-05-18,2395,171,463,3145,118,522
San Francisco, CA,2020-05-18,3100,116,950,4469,116,1120
Los Angeles, CA,2020-05-18,1844,108,615,2395,112,743
San Diego, CA,2020-05-18,1825,117,493,2230,115,622
Seattle, WA,2020-05-18,1640,116,536,1699,119,641
Boston, MA,2020-05-18,2150,108,607,2400,115,564
New York, NY,2020-05-18,2100,112,1630,2500,103,2240
Philadelphia, PA,2020-05-18,1525,119,431,1865,117,661
Washington, DC,2020-05-18,1611,99,442,1970,115,782
Miami, FL,2020-05-18,1450,111,670,2175,114,1557
Santa Clara, CA,2020-05-19,2429,113,390,2886,132,481
Cupertino, CA,2020-05-19,2345,176,438,3195,115,506
San Francisco, CA,2020-05-19,3275,120,956,4375,118,1231
Los Angeles, CA,2020-05-19,2050,111,670,2250,112,943
San Diego, CA,2020-05-19,1755,117,325,2095,117,621
Seattle, WA,2020-05-19,1634,119,537,1625,123,521
Boston, MA,2020-05-19,1950,111,523,2375,114,601
New York, NY,2020-05-19,2000,107,833,2499,106,971
Philadelphia, PA,2020-05-19,1455,109,405,1608,84,630
Washington, DC,2020-05-19,1600,117,420,1692,113,762
Miami, FL,2020-05-19,1396,123,273,1650,131,402
Santa Clara, CA,2020-05-20,2355,115,511,2774,136,469
Cupertino, CA,2020-05-20,2395,160,417,3195,114,489
San Francisco, CA,2020-05-20,3172,116,823,4395,112,1311
Los Angeles, CA,2020-05-20,1837,114,560,2415,117,853
San Diego, CA,2020-05-20,1750,118,425,2170,124,689
Seattle, WA,2020-05-20,1575,119,522,1734,118,647
Boston, MA,2020-05-20,1812,112,539,2400,114,565
New York, NY,2020-05-20,1997,100,835,2537,101,917
Philadelphia, PA,2020-05-20,1385,125,409,1763,102,600
Washington, DC,2020-05-20,1690,111,477,1895,119,664
Miami, FL,2020-05-20,1595,117,480,1725,108,1687
